year,world pop (millions)
-10000,4
-8000,5
-7000,5
-6000,5
-5000,5
-4000,7
-3000,14
-2000,27
-1000,50
-750,60
-500,100
-400,160
-200,150
1,170
200,190
400,190
500,190
600,200
700,210
800,220
900,226
1000,310
1100,301
1200,360
1250,400
1300,360
1340,443
1400,350
1500,425
1600,545
1650,470
1700,600
1750,790
1800,980
1850,1260
1900,1650
1910,1750
1920,1860
1930,2070
1940,2300
1950,2400
1960,3020
1970,3700
1974,4000
1980,4430
1987,5000
1990,5260
2000,6070
2001,6254.936459
2002,6337.730342
2003,6420.361634
2004,6503.377772
2005,6586.970132
2006,6671.452015
2007,6757.308781
2008,6844.457662
2009,6932.766416
2010,7021.732148
2011,7110.923765
2012,7201.202485
2013,7291.793585
2014,7381.616244
2015,7470.491872
2016,7558.554526
2017,7645.617954
2018,7729.902781
2019,7811.293698
2020,7887.001292
2021,7954.448391
2022,8021.407192
2023,8091.73493
